sprint_id	title	status	created_at	updated_at
001	Foundation	completed	2026-03-16T23:02:37Z	2026-03-16T23:02:41Z
002	Playable & Beautiful Core Loop	in_progress	2026-03-16T23:02:37Z	2026-03-16T23:06:06Z
